"startSequence"								
"stimNumber"		"timeSeg"	"description"	"graphicResource" "textBody" "link"
1		-4600000000	"Formation of Earth/Solar System"	"Formation of Earth.jpg"	"The Solar System formed when a giant molecular cloud collapsed in on itself.  Most of the collapsing mass collected in the centre, forming the Sun, while the rest flattened into a protoplanetary disk out of which the planets, moons, asteroids, and other small Solar System bodies formed..."	"http://en.wikipedia.org/wiki/Formation_and_evolution_of_the_Solar_System"
2		-4500000000	"Moon Forming Impact"	"Moon Forming Impact.png"	"The Moon was probably formed when the young Earth collided with a Mars-sized body in the early days of the Solar System. This 'Giant Impact Hypothesis' explains many features of the Moon..."	"http://en.wikipedia.org/wiki/Giant_impact_hypothesis"
3		-4000000000	"Late Heavy Bombardment"	"Late Heavy Bombardment.jpg"	"The Late Heavy Bombardment was a discrete period of time during which the largest impact craters on the Moon were formed. It is thought that Earth, Mercury, Venus and Mars were all bombarded at the same time..."	"http://en.wikipedia.org/wiki/Late_Heavy_Bombardment"
4		-3850000000	"Oldest Evidence for Life"	"Oldest Evidence for Life.jpg"	"The earliest evidence of life consists of microscopic pieces of graphite that are enriched in the isotope carbon-13 and embedded in the earliest sedimentary rocks. This enrichment is typical of carbon compounds produced by photosynthesis. This evidence is not convincing to everyone..."	"http://www.astrobio.net/exclusive/293/when-did-life-on-earth-begin-ask-a-rock"
5		-3500000000	"Oldest Bacterial Fossils (microfossils)"	"Oldest Bacterial Fossils.jpg"	"Fossil bacteria are hard to find! When it comes to the oldest of them, it's hard to be sure these microscopic shapes in ancient rocks are truly the remains of living creatures rather than funny mineral forms. The most recent discovery seems pretty convincing, though..."	"http://www.nytimes.com/2011/08/22/science/earth/22fossil.html"
6		-3500000000	"Oldest Stromatolites (macrofossils)"	"Oldest Stromatolites.jpg"	"Stromatolites are layered structures formed in shallow water by the trapping of dirt by microbes, especially cyanobacteria, living in films or 'mats'. Stromatolites are rare today but were common in the past. Fossil stromatolites  provide some of the most ancient records of life on Earth..."	"http://www.fossilmuseum.net/Tree_of_Life/Stromatolites.htm"
7		-2700000000	"Oldest Eukaryote Biosignature"	"Oldest Eukaryote Biosignature.jpg"	"Eukaryotes are organisms that have nuclei and other organelles in their cells. Although some are single-celled, they can also form multi-cellular complex organisms, such as plants and animals. The oldest evidence are not proper fossils but instead organic molecules in ancient rocks that are the remains of molecules probably produced by ancient eukaryotes..."	"none"
8		-2400000000	"Rise of Oxygen"	"Rise of Oxygen.jpg"	"About halfway through Earth history, the amount of O₂ in Earth's atmosphere increased significantly. Before this time, O₂ was a trace gas, like methane today. After this time, the atmosphere began its inexorable transformation into the breathable composition that we know today..."	"http://en.wikipedia.org/wiki/Great_Oxygenation_Event"
9		-2100000000	"Oldest Eukaryote Fossils"	"Oldest Eukaryote Fossils.jpg"	"The oldest eukaryote fossils are the remains of tube-shaped organisms thought to be ancient versions of the alga Grypania..."	"http://en.wikipedia.org/wiki/Grypania"
10		-700000000	"Snowball Earth"	"Snowball Earth.jpg"	"The 'Snowball Earth' hypothesis holds that around the time of the rise of animals the Earth was frozen over entirely, or nearly so, at least once and possibly several times. The cause is debated, as are the consequences for the evolution of life..."	"http://en.wikipedia.org/wiki/Snowball_Earth"
11		-575000000	"Oldest Animal Fossils (Ediacara)"	"Oldest Animal Fossils.jpg"	"The oldest animal fossils are enigmatic shapes preserved in sedimentary rocks found from the same period on multiple continents. The shapes do not correspond to any organisms known today. Most paleontologists think these fossils are the traces of ancient animals..."	"http://www.ucmp.berkeley.edu/vendian/critters.html"
12		-542000000	"Cambrian Explosion"	"Cambrian Explosion.jpg"	"The 'Cambrian explosion' describes the relatively rapid appearance in the fossil record, over a few million years, of most of the major forms of animals and plants that we know today. The cause of this landmark event in the history of life is still debated..."	"http://www.pbs.org/wgbh/evolution/library/03/4/l_034_02.html"
